Format,Appearances,Example,Interpretation
____,3680,[1860],1860
zwischen ____ und ____,2048,[zwischen 1877 und 1899],1877/1899
zwischen ____ und ____?,1000,[zwischen 1830 und 1840?],1830/1840
circa ____?,804,[circa 1850?],1850?
circa ____,442,[circa 1845],1845?
nicht vor ____,386,[nicht vor 1891],1891/
nicht nach ____,354,[nicht nach 1896],/1896
____?,219,[1850?],1850?
nach ____,143,[nach 1841],1841/
vor ____,107,[vor 1794],/1794
um ____,105,[um 1840],1840?
__. 🌕 ____,62,26. März [18]96,1896-03-26
🌕 ____,53,August 1900,1900-08
🌕. __. ____,48,Aug. 18. 1859,1859-08
__ 🌕 ____,42,14 Sept 1866,1866-09-14
__. 🌕. ____,41,19. Oct. [18]58,1858-10-19
__. ¢,39,19. Jahrhundert,18XX
__. ¢?,38,[17. Jahrhundert?],16XX
ca. ____,35,[ca. 1890],1890?
nicht vor ____?,33,[nicht vor 1863?],1863/
nicht nach ____?,29,[nicht nach 1837?],/1837
_. 🌕 ____,27,8. April 1897,1897-04-08
____ oder ____,22,[1704 oder 1742],1704
__. 🌕y ____,21,10. July 1803,1803
um ____?,19,[um 1820?],1820?
__ 🌕. ____,19,14 Sept. 1866,1866-09-14
🌕. ____,16,Aug. 1908,1908-08
_ 🌕 ____,16,8 Sept [18]81,1881-09-08
_. 🌕. ____,14,2. VI. 1822,1822-06-02
__.,13,93.,
__._.____,11,24.7.1838,1838-07-24
_ 🌕. ____,11,8 Aug. [18]94,1894-08-08
__.🌕.____,11,15.II.1943,1943-02-15
am Neujahrstage ____,11,am Neujahrstage 1813,1813
🌕. _. ____,10,Sept. 2. [18]95,1895
__,9,88,
Fed ____,9,Fed 1856,1856
🌕. __ ____,7,Oct. 15 [18]59,1859-10
_.🌕.____,7,7.VIII.[18]98,1898-08-07
Zwischen ____ und ____,7,[Zwischen 1913 und 1934],1913/1934
__/_ ____,6,30/1 [18]70,1870
_/_ ____,6,6/6 [18]92,1892
🌕 __.____,6,Oct 30.[18]61,3018-10
A.D.____,6,A.D.1931,1931
zwischen ____ und ____;\_,6,[zwischen 1880 und 1900];\1 ,1880/1900
ca. ____?,5,[ca. 1788?],1788?
_/_. ____,5,6/6. [18]92,1892
__/_. ____,5,31/5. 1903,1903
🌕 _. ____,5,Juni 6. [18]60,1860
🌕 __. ____,5,Juni 26. [18]58,1858-06
zwischen ____-____,4,[zwischen 1820-1828],1820/1828
__.__.____,4,01.30.[18]61,1861-30-01
____ 🌕,4,1842 Juni,1842
__. 🌕 __,4,29. Juli 85,0085-07-29
____/____,4,1920/1921,1920/1921
__. 🌕. ____.,4,19. 8br. 1803.,1803-10-19
vor ____?,4,[vor 1898?],/1898
zwischen ____ und ____?;\_,4,[zwischen 1840 und 1852?];\3 ,1840/1852
den __. 🌕. ____,4,den 30. Aug. 1870,1870-08-30
nicht vor __. 🌕 ____,3,[nicht vor 13. Dezember 1808],1808-01-13
le _r 🌕 ____;\_,3,le 1r Avril 1865;\1 ,1865-04
_/_.____,3,4/4.[18]92,1892
__/__ 🌕 ____,3,13/18 Mai 1867,1867-05-18
🌕. _.____,3,Oct. 4.[18]60,1860
🌕 _ ____,3,Juli 2 1875,1875
🌕.__.____,3,Oct.30.[18]61,3018-10
A.D. ____,3,A.D. 1912,1912
__. _ber ____.,3,12. 2ber 1804.,1804
am __. 🌕 ____,3,am 25. August 1863,1863-08-25
_. _ter ____,3,7. 8ter 1823,1823
nach ____?,3,[nach 1820?],1820/
am Neujahrstag ____,3,am Neujahrstag 1810,1810
am Neujahr ____,3,am Neujahr 1811,1811
____;\_,3,[1814];\1 ,1814
🌕 Etat ____,2,II Etat 1887,1887
🌕. __,2,Aug. 99,1999-08
aufgenommen im 🌕 ____,2,aufgenommen im Juni 1876,1876-01
A° ____,2,A° 1804,1804
🌕 __,2,Juli 55,1955-07
_ 🌕 __,2,6 Juli 73,0073-07-06
____ und ____?,2,[1850 und 1860?],1850/1860
Herbst ____,2,Herbst 1864,1864
_._.____,2,4.3.1913,1913-03-04
Ao ____,2,Ao 1914,1914
_. 🌕y ____,2,5. July 1803,1803
__. 🌕b. ____,2,13. Octb. 1803,1803
__. _ber ____,2,21. 8ber 1806,1806
__. 🌕.____,2,13. Aug.1806,1806-08-13
__. Sptb.____,2,14. Sptb.1818,1818
_. Sptb. ____,2,1. Sptb. 1823,1823
🌕.____,2,Sept.[18]76,1876-09
nicht nach __. 🌕 ____,2,[nicht nach 14. Mai 1913],1913-01-14
🌕._.____,2,Feb.3.1925,1925
🌕 _.____,2,Juni 3.1924,1924
anno ____,2,anno 1914,1914
im 🌕 ____,2,im Juli 1899,1899-01
🌕 _. nicht nach ____,2,März 3. [nicht nach 1913],1913
gez Fed ____,2,gez Fed 1856,1856
__.🌕.__,2,26.VIII.48,0048-08-26
Ao. ____,1,Ao. 1707,1707
____;_\,1,[1903];0\ ,1903
__. Jahrundert?,1,[19. Jahrundert?],
__. ... ____,1,21. [...] 1795,1795
Anno __,1,Anno 58,
_/_ 🌕 ____,1,1/2 Juli [18]79,1879-07-02
_/__. ____,1,6/11. [19]07,1907
__. _. ____,1,28. 9. [18]93,1893
_ / _. ____,1,8 / 9. [19]06,1906
_.__.____,1,1.12.[18]93,1893-12-01
Sommer ____,1,Sommer 1892,1892
____. 🌕,1,1891. Maerz,1891
Aufgenommen den _ 🌕 ____,1,Aufgenommen den 5 August 1860,1860-08-05
_ 🌕: ____,1,5 Aug: [18]60,1860
_ __ ____,1,1 10 [18]92,1892
Fr. _. 🌕. ____,1,Fr. 1. Aug. 1878,1878-08-01
zwsichen ____ und ____,1,[zwsichen 1758 und 1761],1758/1761
Anno ____,1,Anno 1702,1702
Jui _ ____,1,Jui 4 1875,1875
🌕. __ - 🌕. _ ____,1,Sept. 21 - Oct. 4 [18]74,1874-09
🌕._. ____,1,Nov.8. [1861],1861
__. u. __. 🌕 ____,1,13. u. 14. April 1824,1824-04-14
____. 🌕. _.,1,1859. Sept. 4.,1859
__ _ ____,1,17 7 [18]60,1860
__/🌕.____,1,29/I.[18]67,1867-01
🌕 __ ____,1,Mar 10 [18]61,1861-03
__/🌕. ____,1,27/III. [18]61,1861-03
___?,1,185[?],
gez. d. __. 🌕 ____,1,gez. d. 14. May 1868,1868-05-14
d. __ 🌕 __,1,d. 15 May 60,0060-05-15
__.🌕. __,1,31.III. 73,0073-03-31
A. ____,1,A. 1647,1647
🌕 _. __,1,Juni 1. 59,
ad Nat. d. __. ... ____,1,ad Nat. d. 25. [...] 1795,1795
ad Nat. d. __. 🌕. ____,1,ad Nat. d. 25. Oct. 1795,1795-10-25
fecit ____ 🌕,1,fecit 1856 Juli,1856
chez Baumann Peters,1,chez Baumann Peters,
__?__,1,[18?]97,
__. 🌕 ____?,1,26. Mai [1867?],
gezeichnet ____,1,[gezeichnet 1924],1924
____.,1,1914.,1914
Zürich ____,1,Zürich 1917,1917
MCM❓🌕,1,MCMXXVIII,
Anno domini ____,1,Anno domini 1917,1917
Ao.DOM.____,1,Ao.DOM.1918,1918
"Sonntag, __. 🌕 ____",1,"Sonntag, 26. Mai [18]67",1867-05-26
cop. Dienstag ... _. 🌕 ____,1,cop. Dienstag [...] 3. April 1855,1855-01-03
... ____,1,[...] 1867,1867
AD. ____,1,AD. 1919,1919
__. _ber. ____.,1,15. 2ber. 1802.,1802
__. Ober. ____.,1,16. Ober. 1803.,1803
ad. nat. ____,1,ad. nat. 1813,1813
__ 🌕. __,1,25 Apr. 67,0067-04-25
Settembre ____,1,Settembre 1934,1934
____/__,1,1914/15,1914/1915
per _. 🌕 ____,1,per 3. März 1923,1923-03-03
AD ____,1,AD 1914,1914
__. _.ber ____,1,20. 8.ber 1804,1804
__. od. __. 🌕 ____,1,27. od. 28. May 1805,1805-05-28
__. 🌕 ____.,1,26. 8br 1809.,1809-10-26
__. _br ____,1,18. 2br 1809,1809
__. 🌕b. ____.,1,14. Septb. 1812.,1812
_ 🌕y / __ 🌕.____,1,1 Juny / 15 Sept.1812,1812-06-15
__. .... ____,1,15. [...]. 1812,1812
_ 🌕y ____,1,1 Juny 1818,1818
__. Sptb. ____,1,27. Sptb. 1819,1819
__. Sprtb. ____,1,13. Sprtb. 1825,1825
? _ter ____,1,? 8ter 1825,1825?
__ Sptb. ____,1,18 Sptb. 1837,1837
__-__. 🌕. ____,1,13-14. Aug. 1838,1838-08-14
__. 🌕y. ____,1,25. Juny. 1837,1837
__. _t. ____,1,10. 8t. 1836,1836
ad nat. __. 🌕y ____. f. __._ber ____,1,ad nat. 13. July 1797. f. 30.8ber 1799,1797
Weihnachten ____,1,Weihnachten 1922,1922
Mittwoch Abend _ _/_ Uhr d. __. 🌕 ____,1,Mittwoch Abend 6 1/2 Uhr d. 22. Augst [18]55,1855-01-22
__. 🌕us Anno ____,1,20. Julius Anno 1794,1794
____-____,1,[1780-1786],1780/1786
Himelfahrt ____,1,Himelfahrt [18]68,1868
_. 🌕 circa ____?,1,9. Mai [circa 1860?],1860?
